sp_id,name,x_rd,y_rd,capacity
new_potential_sp_0239,Sparse Area Point 0239,74006.78947368421,78557.0,100
new_potential_sp_0240,Sparse Area Point 0240,80506.36842105263,5123.0,100
new_potential_sp_0241,Sparse Area Point 0241,80506.36842105263,8987.947368421053,100
new_potential_sp_0242,Sparse Area Point 0242,80506.36842105263,12852.894736842105,100
new_potential_sp_0243,Sparse Area Point 0243,80506.36842105263,16717.842105263157,100
new_potential_sp_0244,Sparse Area Point 0244,80506.36842105263,20582.78947368421,100
new_potential_sp_0245,Sparse Area Point 0245,80506.36842105263,24447.736842105263,100
new_potential_sp_0246,Sparse Area Point 0246,80506.36842105263,28312.684210526313,100
new_potential_sp_0247,Sparse Area Point 0247,80506.36842105263,32177.631578947367,100
new_potential_sp_0248,Sparse Area Point 0248,80506.36842105263,36042.57894736842,100
new_potential_sp_0249,Sparse Area Point 0249,80506.36842105263,39907.52631578947,100
new_potential_sp_0250,Sparse Area Point 0250,80506.36842105263,43772.47368421053,100
new_potential_sp_0251,Sparse Area Point 0251,80506.36842105263,47637.42105263158,100
new_potential_sp_0252,Sparse Area Point 0252,80506.36842105263,51502.368421052626,100
new_potential_sp_0253,Sparse Area Point 0253,80506.36842105263,55367.31578947368,100
new_potential_sp_0254,Sparse Area Point 0254,80506.36842105263,59232.26315789473,100
new_potential_sp_0255,Sparse Area Point 0255,80506.36842105263,63097.21052631579,100
new_potential_sp_0256,Sparse Area Point 0256,80506.36842105263,66962.15789473684,100
new_potential_sp_0257,Sparse Area Point 0257,80506.36842105263,70827.1052631579,100
new_potential_sp_0258,Sparse Area Point 0258,80506.36842105263,74692.05263157895,100
new_potential_sp_0259,Sparse Area Point 0259,80506.36842105263,78557.0,100
new_potential_sp_0260,Sparse Area Point 0260,87005.94736842105,5123.0,100
new_potential_sp_0261,Sparse Area Point 0261,87005.94736842105,8987.947368421053,100
new_potential_sp_0262,Sparse Area Point 0262,87005.94736842105,12852.894736842105,100
new_potential_sp_0263,Sparse Area Point 0263,87005.94736842105,16717.842105263157,100
new_potential_sp_0264,Sparse Area Point 0264,87005.94736842105,20582.78947368421,100
new_potential_sp_0265,Sparse Area Point 0265,87005.94736842105,24447.736842105263,100
new_potential_sp_0266,Sparse Area Point 0266,87005.94736842105,32177.631578947367,100
new_potential_sp_0267,Sparse Area Point 0267,87005.94736842105,36042.57894736842,100
new_potential_sp_0268,Sparse Area Point 0268,87005.94736842105,39907.52631578947,100
new_potential_sp_0269,Sparse Area Point 0269,87005.94736842105,47637.42105263158,100
new_potential_sp_0270,Sparse Area Point 0270,87005.94736842105,51502.368421052626,100
new_potential_sp_0271,Sparse Area Point 0271,87005.94736842105,55367.31578947368,100
new_potential_sp_0272,Sparse Area Point 0272,87005.94736842105,59232.26315789473,100
new_potential_sp_0273,Sparse Area Point 0273,87005.94736842105,63097.21052631579,100
new_potential_sp_0274,Sparse Area Point 0274,87005.94736842105,66962.15789473684,100
new_potential_sp_0275,Sparse Area Point 0275,87005.94736842105,70827.1052631579,100
new_potential_sp_0276,Sparse Area Point 0276,87005.94736842105,74692.05263157895,100
new_potential_sp_0277,Sparse Area Point 0277,87005.94736842105,78557.0,100
new_potential_sp_0278,Sparse Area Point 0278,93505.52631578947,5123.0,100
new_potential_sp_0279,Sparse Area Point 0279,93505.52631578947,8987.947368421053,100
new_potential_sp_0280,Sparse Area Point 0280,93505.52631578947,12852.894736842105,100
new_potential_sp_0281,Sparse Area Point 0281,93505.52631578947,16717.842105263157,100
new_potential_sp_0282,Sparse Area Point 0282,93505.52631578947,24447.736842105263,100
new_potential_sp_0283,Sparse Area Point 0283,93505.52631578947,28312.684210526313,100
new_potential_sp_0284,Sparse Area Point 0284,93505.52631578947,36042.57894736842,100
new_potential_sp_0285,Sparse Area Point 0285,93505.52631578947,39907.52631578947,100
new_potential_sp_0286,Sparse Area Point 0286,93505.52631578947,43772.47368421053,100
new_potential_sp_0287,Sparse Area Point 0287,93505.52631578947,47637.42105263158,100
new_potential_sp_0288,Sparse Area Point 0288,93505.52631578947,51502.368421052626,100
new_potential_sp_0289,Sparse Area Point 0289,93505.52631578947,55367.31578947368,100
new_potential_sp_0290,Sparse Area Point 0290,93505.52631578947,59232.26315789473,100
new_potential_sp_0291,Sparse Area Point 0291,93505.52631578947,63097.21052631579,100
new_potential_sp_0292,Sparse Area Point 0292,93505.52631578947,66962.15789473684,100
new_potential_sp_0293,Sparse Area Point 0293,93505.52631578947,70827.1052631579,100
new_potential_sp_0294,Sparse Area Point 0294,93505.52631578947,74692.05263157895,100
new_potential_sp_0295,Sparse Area Point 0295,93505.52631578947,78557.0,100
new_potential_sp_0296,Sparse Area Point 0296,100005.1052631579,5123.0,100
new_potential_sp_0297,Sparse Area Point 0297,100005.1052631579,8987.947368421053,100
new_potential_sp_0298,Sparse Area Point 0298,100005.1052631579,12852.894736842105,100
new_potential_sp_0299,Sparse Area Point 0299,100005.1052631579,16717.842105263157,100
new_potential_sp_0300,Sparse Area Point 0300,100005.1052631579,20582.78947368421,100
new_potential_sp_0301,Sparse Area Point 0301,100005.1052631579,24447.736842105263,100
new_potential_sp_0302,Sparse Area Point 0302,100005.1052631579,28312.684210526313,100
new_potential_sp_0303,Sparse Area Point 0303,100005.1052631579,32177.631578947367,100
new_potential_sp_0304,Sparse Area Point 0304,100005.1052631579,39907.52631578947,100
new_potential_sp_0305,Sparse Area Point 0305,100005.1052631579,47637.42105263158,100
new_potential_sp_0306,Sparse Area Point 0306,100005.1052631579,51502.368421052626,100
new_potential_sp_0307,Sparse Area Point 0307,100005.1052631579,55367.31578947368,100
new_potential_sp_0308,Sparse Area Point 0308,100005.1052631579,59232.26315789473,100
new_potential_sp_0309,Sparse Area Point 0309,100005.1052631579,63097.21052631579,100
new_potential_sp_0310,Sparse Area Point 0310,100005.1052631579,66962.15789473684,100
new_potential_sp_0311,Sparse Area Point 0311,100005.1052631579,70827.1052631579,100
new_potential_sp_0312,Sparse Area Point 0312,100005.1052631579,74692.05263157895,100
new_potential_sp_0313,Sparse Area Point 0313,100005.1052631579,78557.0,100
new_potential_sp_0314,Sparse Area Point 0314,106504.6842105263,5123.0,100
new_potential_sp_0315,Sparse Area Point 0315,106504.6842105263,8987.947368421053,100
new_potential_sp_0316,Sparse Area Point 0316,106504.6842105263,12852.894736842105,100
new_potential_sp_0317,Sparse Area Point 0317,106504.6842105263,16717.842105263157,100
new_potential_sp_0318,Sparse Area Point 0318,106504.6842105263,20582.78947368421,100
new_potential_sp_0319,Sparse Area Point 0319,106504.6842105263,24447.736842105263,100
new_potential_sp_0320,Sparse Area Point 0320,106504.6842105263,28312.684210526313,100
new_potential_sp_0321,Sparse Area Point 0321,106504.6842105263,32177.631578947367,100
new_potential_sp_0322,Sparse Area Point 0322,106504.6842105263,36042.57894736842,100
new_potential_sp_0323,Sparse Area Point 0323,106504.6842105263,39907.52631578947,100
new_potential_sp_0324,Sparse Area Point 0324,106504.6842105263,43772.47368421053,100
new_potential_sp_0325,Sparse Area Point 0325,106504.6842105263,47637.42105263158,100
new_potential_sp_0326,Sparse Area Point 0326,106504.6842105263,51502.368421052626,100
new_potential_sp_0327,Sparse Area Point 0327,106504.6842105263,55367.31578947368,100
new_potential_sp_0328,Sparse Area Point 0328,106504.6842105263,59232.26315789473,100
new_potential_sp_0329,Sparse Area Point 0329,106504.6842105263,63097.21052631579,100
