LocationID,day,pred_pickup,pred_home,distance
4987,164,36,26,659.7899057050695
4987,165,36,14,659.7899057050695
4987,166,40,28,659.7899057050695
4987,167,38,20,659.7899057050695
4987,168,34,14,659.7899057050695
4987,170,26,18,659.7899057050695
4987,171,80,52,659.7899057050695
4987,172,62,31,659.7899057050695
4987,173,30,20,659.7899057050695
4987,174,15,9,659.7899057050695
4987,175,83,39,659.7899057050695
4987,177,26,18,659.7899057050695
4987,178,48,25,659.7899057050695
4987,179,80,53,659.7899057050695
4987,180,42,26,659.7899057050695
4987,181,58,24,659.7899057050695
4987,182,76,43,659.7899057050695
4987,184,47,27,659.7899057050695
4987,185,61,30,659.7899057050695
4987,186,68,30,659.7899057050695
4987,187,15,8,659.7899057050695
4987,188,34,22,659.7899057050695
4987,189,25,18,659.7899057050695
4987,191,35,20,659.7899057050695
4987,192,24,22,659.7899057050695
4987,193,31,14,659.7899057050695
4987,195,8,5,659.7899057050695
4987,196,23,18,659.7899057050695
4987,198,18,5,659.7899057050695
4987,199,8,9,659.7899057050695
4987,200,13,10,659.7899057050695
4987,201,32,23,659.7899057050695
4987,202,19,8,659.7899057050695
4987,203,19,13,659.7899057050695
4987,205,26,10,659.7899057050695
4987,206,26,13,659.7899057050695
4987,207,10,8,659.7899057050695
4987,208,18,16,659.7899057050695
4987,209,39,24,659.7899057050695
4987,210,20,13,659.7899057050695
4987,212,16,17,659.7899057050695
4987,213,59,27,659.7899057050695
4987,214,16,5,659.7899057050695
4987,215,10,10,659.7899057050695
4987,216,2,4,659.7899057050695
4987,217,22,14,659.7899057050695
4987,219,24,17,659.7899057050695
4987,220,8,1,659.7899057050695
4987,221,18,8,659.7899057050695
4987,222,6,6,659.7899057050695
4987,223,43,20,659.7899057050695
4987,224,23,13,659.7899057050695
4987,226,16,8,659.7899057050695
4987,227,55,21,659.7899057050695
4987,228,18,10,659.7899057050695
4987,229,9,8,659.7899057050695
4987,230,21,15,659.7899057050695
4987,231,26,18,659.7899057050695
4987,233,23,5,659.7899057050695
4987,234,26,17,659.7899057050695
4987,235,11,7,659.7899057050695
4987,236,45,28,659.7899057050695
4987,237,11,2,659.7899057050695
4987,238,13,11,659.7899057050695
4987,240,29,13,659.7899057050695
4987,241,47,21,659.7899057050695
4987,242,9,5,659.7899057050695
4987,243,41,24,659.7899057050695
4987,244,34,18,659.7899057050695
4987,245,45,28,659.7899057050695
4987,247,16,4,659.7899057050695
4987,248,50,35,659.7899057050695
4987,249,17,6,659.7899057050695
4987,250,51,30,659.7899057050695
4987,251,67,43,659.7899057050695
4987,252,59,31,659.7899057050695
4987,254,61,34,659.7899057050695
4987,255,50,21,659.7899057050695
4987,256,44,31,659.7899057050695
4987,257,37,17,659.7899057050695
4987,258,78,44,659.7899057050695
4987,259,38,19,659.7899057050695
4987,261,56,31,659.7899057050695
4987,262,84,49,659.7899057050695
4987,263,20,13,659.7899057050695
4987,264,44,27,659.7899057050695
4987,265,33,17,659.7899057050695
4987,266,50,34,659.7899057050695
4987,268,62,39,659.7899057050695
4987,269,48,24,659.7899057050695
4987,270,29,17,659.7899057050695
4987,271,35,24,659.7899057050695
4987,272,57,41,659.7899057050695
4987,273,32,17,659.7899057050695
4987,275,21,15,659.7899057050695
4987,276,110,50,659.7899057050695
4987,277,70,31,659.7899057050695
4987,278,70,33,659.7899057050695
4987,279,35,30,659.7899057050695
4987,280,78,39,659.7899057050695
4987,282,67,38,659.7899057050695
4987,283,47,31,659.7899057050695
4987,284,34,15,659.7899057050695
4987,285,49,30,659.7899057050695
4987,286,47,39,659.7899057050695
4987,287,75,38,659.7899057050695
4987,289,50,29,659.7899057050695
4987,290,54,38,659.7899057050695
4987,291,64,31,659.7899057050695
4987,292,24,16,659.7899057050695
4987,293,38,21,659.7899057050695
4987,294,27,18,659.7899057050695
4987,296,12,11,659.7899057050695
4987,297,101,43,659.7899057050695
4987,298,35,22,659.7899057050695
4987,299,57,26,659.7899057050695
4987,300,33,26,659.7899057050695
4987,301,39,26,659.7899057050695
4987,303,42,37,659.7899057050695
4987,304,77,48,659.7899057050695
4987,305,7,10,659.7899057050695
4987,306,26,24,659.7899057050695
4987,307,17,15,659.7899057050695
4987,308,30,16,659.7899057050695
4987,310,65,39,659.7899057050695
4987,311,75,33,659.7899057050695
4987,312,74,43,659.7899057050695
4987,313,33,15,659.7899057050695
4987,314,68,33,659.7899057050695
4987,315,37,26,659.7899057050695
4987,317,27,22,659.7899057050695
4987,318,86,44,659.7899057050695
4987,319,24,11,659.7899057050695
4987,320,35,19,659.7899057050695
4987,321,30,19,659.7899057050695
4987,322,77,34,659.7899057050695
4987,324,61,38,659.7899057050695
4987,325,37,20,659.7899057050695
4987,326,36,28,659.7899057050695
4987,327,50,36,659.7899057050695
4987,328,44,15,659.7899057050695
4987,329,50,25,659.7899057050695
4987,331,36,28,659.7899057050695
4987,332,82,53,659.7899057050695
4987,333,28,24,659.7899057050695
4987,334,67,32,659.7899057050695
4987,335,44,20,659.7899057050695
4987,336,67,42,659.7899057050695
4987,338,111,50,659.7899057050695
4987,339,108,46,659.7899057050695
4987,340,64,35,659.7899057050695
4987,341,26,12,659.7899057050695
4987,342,65,38,659.7899057050695
4987,343,74,37,659.7899057050695
4987,345,40,21,659.7899057050695
4987,346,75,47,659.7899057050695
4987,347,120,55,659.7899057050695
4987,348,64,32,659.7899057050695
4987,349,111,54,659.7899057050695
4987,350,69,38,659.7899057050695
4987,352,82,48,659.7899057050695
4987,353,88,46,659.7899057050695
4987,354,78,41,659.7899057050695
4987,355,107,54,659.7899057050695
4987,356,80,50,659.7899057050695
4987,357,111,54,659.7899057050695
4987,359,36,25,659.7899057050695
4987,360,78,46,659.7899057050695
4987,361,86,50,659.7899057050695
4987,362,67,44,659.7899057050695
4987,363,74,43,659.7899057050695
4987,364,94,49,659.7899057050695
5499,2,30,18,696.7457412253577
5499,3,62,38,696.7457412253577
5499,4,25,16,696.7457412253577
5499,5,45,23,696.7457412253577
5499,6,26,19,696.7457412253577
5499,7,44,27,696.7457412253577
5499,9,44,31,696.7457412253577
5499,10,43,27,696.7457412253577
5499,11,30,25,696.7457412253577
5499,12,30,26,696.7457412253577
5499,13,52,27,696.7457412253577
5499,14,31,16,696.7457412253577
5499,16,39,26,696.7457412253577
5499,17,55,29,696.7457412253577
5499,18,65,29,696.7457412253577
5499,19,58,39,696.7457412253577
5499,20,18,14,696.7457412253577
5499,21,23,16,696.7457412253577
5499,23,44,33,696.7457412253577
5499,24,65,46,696.7457412253577
5499,25,10,13,696.7457412253577
5499,26,28,14,696.7457412253577
5499,27,37,27,696.7457412253577
5499,28,41,23,696.7457412253577
5499,30,53,29,696.7457412253577
5499,31,62,37,696.7457412253577
5499,32,48,29,696.7457412253577
5499,33,57,31,696.7457412253577
5499,34,36,27,696.7457412253577
5499,35,30,25,696.7457412253577
5499,37,45,25,696.7457412253577
5499,38,33,20,696.7457412253577
5499,39,38,18,696.7457412253577
5499,40,34,26,696.7457412253577
5499,41,45,34,696.7457412253577
5499,42,54,31,696.7457412253577
5499,44,36,25,696.7457412253577
5499,45,81,37,696.7457412253577
5499,46,32,27,696.7457412253577
5499,47,12,8,696.7457412253577
5499,48,38,19,696.7457412253577
5499,49,77,38,696.7457412253577
5499,51,39,28,696.7457412253577
5499,52,65,30,696.7457412253577
5499,53,52,31,696.7457412253577
5499,54,41,28,696.7457412253577
5499,55,36,31,696.7457412253577
5499,56,74,34,696.7457412253577
5499,58,42,24,696.7457412253577
5499,59,61,39,696.7457412253577
5499,60,28,21,696.7457412253577
5499,61,18,12,696.7457412253577
5499,62,61,37,696.7457412253577
5499,63,24,15,696.7457412253577
5499,65,58,36,696.7457412253577
5499,66,25,17,696.7457412253577
5499,67,54,36,696.7457412253577
5499,68,41,22,696.7457412253577
5499,69,16,11,696.7457412253577
5499,70,36,22,696.7457412253577
5499,72,46,34,696.7457412253577
5499,73,42,23,696.7457412253577
5499,74,48,24,696.7457412253577
5499,75,38,34,696.7457412253577
5499,76,22,13,696.7457412253577
5499,77,14,7,696.7457412253577
5499,79,41,29,696.7457412253577
5499,80,23,17,696.7457412253577
5499,81,50,29,696.7457412253577
5499,82,31,18,696.7457412253577
5499,83,46,32,696.7457412253577
5499,84,20,5,696.7457412253577
5499,86,57,28,696.7457412253577
5499,87,42,21,696.7457412253577
5499,88,38,15,696.7457412253577
5499,89,24,23,696.7457412253577
5499,90,53,36,696.7457412253577
5499,91,31,22,696.7457412253577
5499,93,24,15,696.7457412253577
5499,94,53,25,696.7457412253577
5499,95,28,20,696.7457412253577
5499,96,39,26,696.7457412253577
5499,97,68,38,696.7457412253577
5499,98,78,42,696.7457412253577
5499,100,18,4,696.7457412253577
5499,101,66,30,696.7457412253577
5499,102,33,26,696.7457412253577
5499,103,48,26,696.7457412253577
5499,104,35,20,696.7457412253577
5499,105,31,26,696.7457412253577
5499,107,24,14,696.7457412253577
5499,108,8,10,696.7457412253577
5499,109,34,16,696.7457412253577
5499,110,41,25,696.7457412253577
5499,111,46,36,696.7457412253577
5499,112,38,30,696.7457412253577
5499,114,16,17,696.7457412253577
5499,115,17,8,696.7457412253577
5499,116,36,26,696.7457412253577
5499,117,73,33,696.7457412253577
5499,118,9,10,696.7457412253577
5499,119,30,22,696.7457412253577
5499,121,27,18,696.7457412253577
5499,122,25,14,696.7457412253577
5499,123,40,31,696.7457412253577
5499,124,54,31,696.7457412253577
5499,125,19,17,696.7457412253577
5499,126,53,31,696.7457412253577
5499,128,27,18,696.7457412253577
5499,129,39,21,696.7457412253577
5499,130,36,18,696.7457412253577
5499,131,14,16,696.7457412253577
5499,132,15,9,696.7457412253577
5499,133,26,17,696.7457412253577
5499,135,28,22,696.7457412253577
5499,136,59,30,696.7457412253577
5499,137,36,34,696.7457412253577
5499,138,19,13,696.7457412253577
5499,139,21,15,696.7457412253577
5499,140,44,29,696.7457412253577
5499,142,27,21,696.7457412253577
5499,143,44,26,696.7457412253577
5499,144,33,20,696.7457412253577
5499,145,58,30,696.7457412253577
5499,146,57,31,696.7457412253577
5499,147,55,36,696.7457412253577
5499,149,38,28,696.7457412253577
5499,150,57,26,696.7457412253577
5499,151,23,13,696.7457412253577
5499,152,35,27,696.7457412253577
5499,153,48,24,696.7457412253577
5499,154,35,31,696.7457412253577
5499,156,35,18,696.7457412253577
5499,157,61,33,696.7457412253577
5499,158,9,5,696.7457412253577
5499,159,50,26,696.7457412253577
5499,160,42,22,696.7457412253577
5499,161,21,12,696.7457412253577
5499,163,53,36,696.7457412253577
5499,164,42,30,696.7457412253577
5499,165,26,25,696.7457412253577
5499,166,30,16,696.7457412253577
5499,167,34,18,696.7457412253577
5499,168,31,16,696.7457412253577
5499,170,33,17,696.7457412253577
5499,171,73,39,696.7457412253577
5499,172,50,36,696.7457412253577
5499,173,31,18,696.7457412253577
5499,174,14,11,696.7457412253577
5499,175,60,31,696.7457412253577
5499,177,30,24,696.7457412253577
5499,178,36,30,696.7457412253577
5499,179,82,42,696.7457412253577
5499,180,39,18,696.7457412253577
5499,181,40,27,696.7457412253577
5499,182,66,38,696.7457412253577
5499,184,44,23,696.7457412253577
5499,185,64,36,696.7457412253577
